Name,Affiliation,h-index,i10-index,Citations,College/Company,Research Interest 1,Research Interest 2
Ashis Pandit,Assistant professor,111,447,44960,University of Delhi,Environmental Science,Climate Change
Ashis Kumar Pani,XLRI Jamshedpur,15,21,1401,XLRI Jamshedpur,Information Systems,Business Analytics
Ashis K. Patra,"Department of Chemistry, Indian Institute of Technology Kanpur, Kanpur 208016, Uttar Pradesh, India",33,57,2949,Indian Institute of Technology Kanpur,Inorganic Chemistry,Organometallic Chemistry
Ashish Kumar,physics,88,943,60427,Indian Institute of Technology (IIT) Delhi,Condensed Matter Physics,Quantum Materials
Dr. Ashis Kumar Jena,"P.G.Department of Chemistry, Maharaja Sriram Chandra Bhanja Deo University, Odisha, India",10,11,503,Maharaja Sriram Chandra Bhanja Deo University,Materials Chemistry,Nanotechnology
Ashish Bhatnagar,"CCS University, Meerut",37,70,5969,CCS University,Computer Science,Data Mining
Ashish Borgaonkar,"Assistant Professor, New Jersey Institute of Technology",7,4,177,New Jersey Institute of Technology,Cybersecurity,Internet of Things (IoT)
Ashish Chittora,"BITS Pilani, K K Birla Goa Campus",11,11,308,BITS Pilani,Data Science,Artificial Intelligence
Ashish Dixit,"Assistant professor,  Amity School of Engineering and Technology",7,7,219,Amity University,Artificial Intelligence,Data Science
Ashish S. Galande,"Assistant Professor, Marketing, IIM Udaipur",2,1,24,IIM Udaipur,Consumer Behavior,Digital Marketing
Ashish Anantrao  Jadhav,"Additional Professor, All India Institute of Medical Sciences, Bhopal",10,10,494,All India Institute of Medical Sciences,Bhopal,Medical Research
Ashish K. Jha,Brown University School of Public Health,111,359,52538,Brown University,Public Health Policy,Health Systems Improvement
Ashish Khare,"Professor of Computer Science, University of Allahabad, India",29,72,2983,University of Allahabad,Image Processing,Pattern Recognition
Dr. Ashish Dixit,"Ajay Kumar Garg Engineering College,Ghaziabad",4,1,35,Dr. A.P.J. Abdul Kalam Technical University,Renewable Energy Systems,Power Electronics
Dr. Ashish Kumar Sahu,"Assistant Professor, Department of CSE, Maulana Azad National Institute of Technology Bhopal (MANIT)",10,10,347,Maulana Azad National Institute of Technology Bhopal (MANIT),Data Mining,Machine Learning
Dr. Ashish Kumar Shukla,"Assistant Professor Department of Mathematics RSKD PG College, VBS Purvanchal University Jaunpur",12,15,526,VBS Purvanchal University,Mathematics,Applied Mathematics
Ashish Mishra,student of chemical engineering,72,515,26059,Indian Institute of Technology (IIT) Bombay,Process Optimization,Sustainable Chemical Engineering
Ashish Nanda,"University of Missouri, Columbia, MO",17,22,2646,University of Missouri,Columbia,MO
Ashish Sadh,Indian Institute of Management Indore,6,5,307,Indian Institute of Management Indore,Operations Management,Supply Chain Management
Ashish Sharma,"Associate Professor, Dept. of Biomedical Informatics, Emory University",149,920,102883,Emory University,Biomedical Informatics,Health Data Science
Ashish V Thapliyal,"Google, LLC",22,32,4439,Google,LLC,Quantum Computing
Ashok kumar,Sindh agriculture university tandojam,149,1556,119789,Sindh Agriculture University Tandojam,Agricultural Sciences,Crop Improvement
TP Ashok Babu,National Institute of Technology Karnataka,21,39,1110,National Institute of Technology Karnataka,Renewable Energy,Power Systems
Ashok Jhunjhunwala,Professor,23,54,2133,Indian Institute of Technology Madras,Telecommunications,Renewable Energy
Ashok  K Pundir,"Professor & Dean ( Former), Indian Institute of Management, Mumbai",17,20,945,Indian Institute of Management Mumbai,Operations Management,Supply Chain Management
Ashok Kumar Jena,"Professor, Department of Dentistry, AIIMS, Bhubaneswar",23,32,1888,All India Institute of Medical Sciences (AIIMS),Bhubaneswar,Dentistry
Ashok Kumar Pathak,"Department of Mathematics, Indian Institute of Technology Bombay, Mumbai India",12,14,453,Indian Institute of Technology Bombay,Mathematics,Applied Mathematics
Dr Ashok Kumar Sahoo,"Professor-Mechanical Engg. & Director-R&D (Technology), KIIT Deemed to be University",35,101,3990,KIIT Deemed to be University,Mechanical Engineering,Research & Development (Technology)
Ashok Mishra,"Professor, Texas A&M University, College Station, Texas",56,118,19386,Texas A&M University,Water Resources Management,Agricultural Economics
Ashok Thampy,"Professor, Finance and Accounting Area, Indian Institute of Management Bangalore",8,7,391,Indian Institute of Management Bangalore,Corporate Finance,Financial Accounting
Prof. Ashok Kumar Mahapatra,"DIRECTOR, AIIMS BHUBANESWAR",60,466,19350,All India Institute of Medical Sciences Bhubaneswar,Neurosurgery,Traumatic Brain Injury
Dr Ashok Kumar,Plant Pathologist,20,70,17330,Indian Agricultural Research Institute,Plant Pathology,Disease Resistance in Crops
Ashu Jain,"Former-Professor, Department of Civil Engineering, IIT Kanpur",22,29,5017,IIT Kanpur,Water Resources Engineering,Hydrological Modeling
Ashutosh Bhatia,"Associate professor in the Dept. of CS, BITS, Pilani",16,26,764,Birla Institute of Technology and Science,Pilani,Machine Learning
Ashutosh Biswas,Professor of Medicine and Infectious Diseasesa,33,142,4953,University of California,San Francisco,Infectious Diseases
Ashutosh Chamoli,"Dept of Earth Sciences, Indian Institute of Technology Roorkee and CSIR- NGRI, Hyderabad",12,14,446,Indian Institute of Technology Roorkee,Geophysics,Seismology
Ashutosh Dash,"Bhabha Atomic Research Center, Mumbai",37,178,6861,Bhabha Atomic Research Center,Nuclear Physics,Radiation Science
Dr Ashutosh Gupta,"Saraswati Dental College, Lucknow",27,101,8570,Saraswati Dental College,Oral Pathology,Dental Public Health
Dr. ASHUTOSH KUMAR DUBEY,"IIT (BHU), Varanasi",25,53,2257,IIT (BHU) Varanasi,Renewable Energy Systems,Power Electronics
Prof. Ashutosh Kumar Singh,"Professor and Director, Indian Institute of Information Technology, Bhopal, India",46,216,9287,Indian Institute of Information Technology,Bhopal,Artificial Intelligence
Dr. Sinha Ashutosh Kumar,Bir Bikram College of Pharmacy,16,31,1728,Bir Bikram University,Pharmaceutical Sciences,Drug Delivery Systems
Ashutosh Mahajan,"Assistant Professor, Industrial Engineering and Operations Research, IIT Bombay",11,12,1377,Indian Institute of Technology Bombay,Operations Research,Supply Chain Management
Ashutosh Mishra,Population Council,46,294,11781,Population Council,Reproductive Health,Gender and Social Norms
Ashutosh Modi,Indian Institute of Technology Kanpur,25,38,1956,Indian Institute of Technology Kanpur,Natural Language Processing,Human-Computer Interaction
Ashutosh Bishnu Murti,"Indian Institute of Management, Shillong",6,5,134,Indian Institute of Management Shillong,Operations Management,Supply Chain Management
Ashutosh Pareek,Banasthali Vidyapith,1,0,5,Banasthali Vidyapith,Computer Science,Data Mining
ashwini Ramakant Tayade,consultant infectious disease,5,4,225,Consultant Infectious Disease,Infectious Diseases,Antimicrobial Resistance
Ashwani Kumar Tiwari,"Assistant Professor, School of Environmental Sciences, Jawaharlal Nehru University",36,60,3537,Jawaharlal Nehru University,Environmental Sciences,Climate Change
ashwini sharma,"Graphic Era Deemed to be University, Dehradun",184,618,116376,Graphic Era Deemed to be University,Data Mining,Artificial Intelligence
Ashwani Tandon,All India Institute of Medical Sciences (AIIMS) Bhopal,14,17,964,All India Institute of Medical Sciences (AIIMS) Bhopal,Medical Research,Public Health
Ashwin Gedam,"PhD Scholar, Symbiosis International University",1,1,26,Symbiosis International University,Data Science,Artificial Intelligence
Ashwin Kelkar,"Wellcome Trust - DBT Early Career Fellow, IISER Pune",7,7,250,IISER Pune,Structural Biology,Protein Folding
Ashwin Mohan,"Vitreo-Retinal Surgeon, Coimbatore",10,11,506,PSG Institute of Medical Sciences and Research,Vitreo-Retinal Surgery,Diabetic Retinopathy
Dr. Ashwani Kr. Sharma,"Govt. Digvijay College, Rajnandgaon",25,101,3901,Govt. Digvijay College,Rajnandgaon,Environmental Science
Ashwini Meshram,"Asst Professor, Computer Science and Engineering",3,1,28,Asst Professor,Computer Science and Engineering,Artificial Intelligence
Asif Jilani Iqbal,"Professor of Inflammation Biology, University of Birmingham",30,58,3139,University of Birmingham,Inflammation Biology,Immune System Regulation
Asim Gopal Barman,"Department of Production Engineering, Jadavpur University, Kolkata - 700032, INDIA.",13,13,613,Jadavpur University,Production Engineering,Manufacturing Systems
Asim Kumar jana,"Professor, Department of Biotechnology, NIT Jalandhar",30,81,3167,NIT Jalandhar,Biotechnology,Environmental Biotechnology
Asim Kumar Das,"Department of Chemistry, Visva-Bharati University",35,153,6419,Visva-Bharati University,Organic Chemistry,Environmental Chemistry
asima pradhan,"Professor of Physics , IIT Kanpur",30,81,3927,Indian Institute of Technology Kanpur,Biophotonics,Biomedical Optics
Ashis Kumar Behera,C.E.O. & Director of Innovation @ AATWRI AEROSPACE & DEFENCE,2,0,20,AATWRI AEROSPACE & DEFENCE,Aerospace Engineering,Defence Technology
Asit Kumar Mishra,"School of Public Health, University College Cork, Ireland",19,25,2014,University College Cork,Public Health,Epidemiology
Asit Sahoo,Director and Chief Battery Scientist at Indi Energy,11,11,496,Indi Energy,Battery Technology,Energy Storage Systems
Asmita Mishra,"PhD Student, IIT Kharagpur",11,12,533,IIT Kharagpur,Machine Learning,Natural Language Processing
Asmita Shukla,"CSS Inc., Under contract to National Oceanic and Atmospheric Administration",5,2,64,CSS Inc.,Climate Modeling,Oceanic Data Analysis
Asok Ray,Distinguished Professor of Mechanical Engineering and Mathematics,61,325,15936,Pennsylvania State University,Control Systems,Dynamical Systems
Atanu Rakshit,"Research scholar, The University of Burdwan",13,13,445,The University of Burdwan,Environmental Science,Sustainable Development
Dr. Atar Singh,"ICAR-Agricultural Technology Application and Research Institute (ATARI), Zone-IV, Kanpur",42,291,11424,ICAR-Agricultural Technology Application and Research Institute (ATARI),Agricultural Technology,Research and Development
"Nenes, Athanasios","Ecole Polytechnique Federale de Lausanne, Switzerland",103,332,39618,Ecole Polytechnique Federale de Lausanne,Atmospheric Chemistry,Aerosol Science
Dr Athira Krishnan,"Assistant Professor-Chemistry, Govt.Polytechnic College, Punalur",17,18,592,Govt. Polytechnic College,Punalur,Chemistry Education
Athira Thacharon,"PhD Scholar, Sungkyunkwan University",4,3,131,Sungkyunkwan University,Artificial Intelligence,Data Science
Atul Mohan Kamble,"Full Stack AIML @Cariad, Inc",0,0,0,Cariad,Inc,Artificial Intelligence
"Atri Sengupta, PhD",Associate Professor at Indian Institute of Management Sambalpur,13,14,789,Indian Institute of Management Sambalpur,Operations Management,Supply Chain Management
Jarvis Watkins,Auburn University at Montgomery,38,97,4383,Auburn University at Montgomery,Educational Leadership,Higher Education Administration
Arnab Ghosh,"Lerner Research Institute, The Cleveland Clinic",32,97,5271,Lerner Research Institute,The Cleveland Clinic,Cancer Biology
Aurobinda Routray,"Professor, Department of Electrical Engineering, IIT Kharagpur",45,159,9478,IIT Kharagpur,Signal Processing,Control Systems
Avik Chatterjee,"Department of Chemistry, SUNY College of Environmental Science and Forestry, Syracuse, N.Y.",20,31,1400,SUNY College of Environmental Science and Forestry,Environmental Chemistry,Sustainable Materials
Avik Bhattacharya,"Professor, Indian Institute of Technology Bombay",35,83,3741,Indian Institute of Technology Bombay,Remote Sensing,Microwave Imaging
Avik Samanta,"Assistant Professor, University of South Florida",20,32,1254,University of South Florida,Organic Chemistry,Sustainable Catalysis
Abhilash Jain,Clinical Senior Lecturer and Consultant Plastic Surgeon,54,304,16083,University of Manchester,Reconstructive Surgery,Wound Healing
Dr. Avinash Dadhich,Manipal Law School Manipal Academy of Higher Education Bengaluru,0,0,0,Manipal Academy of Higher Education,Legal Education,Human Rights Law
Dr Avinash J Patil,University of Bristol UK,42,74,6178,University of Bristol,Synthetic Biology,Biomolecular Engineering
Dr. Avinash kumar Gautam,"Indira Gandhi Krishi Vishwa Vidyalaya, Raipur, C.G.",5,3,92,Indira Gandhi Krishi Vishwa Vidyalaya,Agricultural Sciences,Crop Improvement
Dr. Avinash Kumar Sharma,"Associate Professor Department of CSE, School of Engineering & Technology, Sharda University, Noida",14,17,870,Sharda University,Computer Science,Engineering & Technology
Avinash Kumar Agarwal,Indian Institute of Technology Kanpur,73,312,28449,Indian Institute of Technology Kanpur,Combustion Engines,Alternative Fuels
Pandey Avinash C,"Professor, University of Allahabad, INDIA",59,227,12508,University of Allahabad,Environmental Chemistry,Analytical Chemistry
AVINASH PARASHAR,IIT Roorkee,34,74,3594,IIT Roorkee,Composite Materials,Structural Mechanics
Avinash Parnandi,VitalConnect,21,26,1302,VitalConnect,Wearable Technology,Remote Patient Monitoring
avinash sharma,Marketing Guru,45,192,10102,Marketing Guru,Consumer Behavior,Brand Management
Avinash Shivdas,"Amrita School of Business, Amrita Vishwa Vidyapeetham, India",8,8,323,Amrita Vishwa Vidyapeetham,Business Analytics,Supply Chain Management
Avinash Singh,student of class 12,53,355,15818,University of Delhi,Quantum Mechanics,Condensed Matter Physics
Avinash V Waghmare,"Assistant Professor in Psychiatry, Smt. Kashibai Navale Medical College, Pune",7,7,301,Smt. Kashibai Navale Medical College,Psychiatry,Mental Health Disorders
Dr. AVINASH P. INGLE,"Biotechnology Centre, Department of Agricultural Botany,  Dr. Panjabrao Deshmukh Krishi Vidyapeeth",57,122,17302,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Agricultural Biotechnology,Plant Molecular Biology
Avishek Adhikari,"Associate Professor, University of California, Los Angeles (UCLA)",27,31,8485,University of California,Los Angeles (UCLA),Cryptography
avlokita agrawal,"department of architecture and planning, IIT Roorkee",9,9,648,IIT Roorkee,Urban Planning,Sustainable Architecture
Awanish Kumar,"Associate Professor, National Institute of Technology, Raipur, India",47,213,10874,National Institute of Technology,Raipur,Power Systems
Ayan Bhattacharjee,D. E. Shaw Research,3,2,127,D. E. Shaw Research,Computational Biology,Molecular Dynamics
Ayan Chakrabarti,Google Research,29,47,4725,Google Research,Computer Vision,Computational Photography
Ayan Datta,"Professor, School of Chemical Sciences, IACS",55,252,11586,Indian Association for the Cultivation of Science,Computational Chemistry,Materials Science
Ayan Ghosh Dastidar,"Assistant Professor of Marketing, School of Business, Clark University",3,3,171,Clark University,Consumer Behavior,Digital Marketing
Ayan Seal,"PDPM Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",36,69,3441,PDPM Indian Institute of Information Technology,Design and Manufacturing,Jabalpur
